company,label,year,sales,expenses,operating_profit,other_income,interest,depreciation,profit_before_tax,net_profit,equity_capital,reserves,borrowings,other_liabilities,total_assets,fixed_assets,working_capital_days
Nestle India,0,2026,23155,17893,5261,160,158,699,4564,3499,193,4964,444,7581,13182,6290,-24
ITC,0,2026,78868,51562,27306,2523,85,1711,28033,21018,1253,71254,2399,18731,93637,22443,47
Infosys,0,2026,178650,136370,42280,3033,416,4902,39995,29474,2024,90828,9176,52260,154288,33770,33
HUL,0,2026,64468,49429,15039,4923,410,1333,18219,15059,235,48504,1478,29521,79738,57428,-23
Wipro,0,2026,92624,74813,17811,3899,1458,2911,17342,13266,2098,85921,20291,32574,140884,51690,-47
HCL Tech,0,2026,130144,103392,26752,574,869,4355,22102,16652,543,74622,5215,34732,115112,37297,23
Maruti,0,2026,183316,161860,21456,4643,239,6742,19118,14680,157,106999,102,41622,148881,34955,2
Asian Paints,0,2026,35584,28884,6700,728,195,1229,6003,4395,96,21276,3929,9218,34519,9640,38
Titan,0,2026,87584,79227,8357,450,1180,826,6801,5073,89,15614,30621,14237,60561,6878,28
L&T,0,2026,285874,250464,35411,4986,10056,4365,25976,18954,275,109015,125497,217596,452383,30867,-27
Tata Steel,0,2026,232140,197788,34352,738,7167,11955,15969,10886,1247,100920,92382,101965,296515,179908,-56
Hindalco,0,2026,274944,240064,34880,-4074,3480,8830,18496,13391,222,136361,99165,108933,344681,130251,2
Jaiprakash Associates,1,2025,5796,5939,-143,-976,1176,576,-2871,-2823,491,-5811,18497,21425,34602,6945,272
MTNL,1,2026,956,1098,-142,586,2983,568,-3107,-3107,630,-30590,35445,4591,10076,3138,-4325
Reliance Power,1,2026,7620,5255,2365,-14,1666,829,-145,-337,4136,11904,14812,10441,41293,30944,-348
Reliance Comm,1,2026,314,505,-191,-10774,44,111,-11120,-11125,1383,-103948,47212,91691,36338,2636,-109011
GTL Infra,1,2017,952,562,391,5,459,239,-302,-603,2460,-3889,4895,607,4073,3138,-795
Unitech,1,2026,512,518,-6,-263,2745,4,-3018,-3018,523,-9889,7519,27206,25359,459,-9916
Future Retail,1,2021,6304,6863,-559,245,1471,1383,-3168,-3190,108,985,12204,5728,19025,7026,-145
GVK Power,1,2026,81,374,-293,-1036,31,22,-1382,-1383,158,-1615,701,1326,570,117,-625
Sintex,1,2022,3060,2667,393,109,813,262,-573,-574,60,1244,6670,2235,10209,7043,-868
