trial,pr_auc,state,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,subsample_freq,colsample_bytree,reg_alpha,reg_lambda
44,0.7542099156403486,COMPLETE,800,0.0614490177807117,67,8,45,0.999611871230013,1,0.8633501674784362,0.032228517554590316,0.06536290565762534
42,0.7542029103957096,COMPLETE,800,0.04962097112420699,71,7,41,0.9649089855236592,1,0.8514098938665939,0.010897469418754068,0.06562685597990181
45,0.7533158794297832,COMPLETE,800,0.05150059410480345,72,8,41,0.9969613396948463,1,0.8637146182225821,0.03956949003616966,0.06919731808765482
49,0.7529000587825602,COMPLETE,850,0.05105498833450931,66,7,30,0.9923992842995405,2,0.8966603167879146,0.03397132708719379,0.26044798447712453
31,0.7527990896734057,COMPLETE,600,0.0692305540383064,60,7,47,0.9297566497999864,1,0.802981682867231,0.0010615677854335875,0.004454994128871915
48,0.7527949655516443,COMPLETE,800,0.05147573565692015,66,8,43,0.9925871628492335,1,0.8505184602071394,0.028641810721106657,0.13905021757756875
43,0.7509464958104786,COMPLETE,800,0.06269650207759496,71,8,45,0.9162922126548323,1,0.857239211412167,0.010380723653594017,0.06627552756111275
5,0.750533820291048,COMPLETE,900,0.08158812228791566,77,9,38,0.9687496940092467,1,0.5979914312095727,0.0015167330688076208,0.02001342062287998
28,0.7485987646698157,COMPLETE,750,0.03741486970074499,68,9,56,0.9730439935437382,1,0.6392896520099115,0.004770533851008688,0.02026400685507682
30,0.7480635565751215,COMPLETE,600,0.06929139483861117,60,7,48,0.9210969629682964,1,0.7996701187126671,0.0010150060182846782,0.004190661629856907
47,0.7479628630726904,COMPLETE,700,0.0594959532979518,72,8,40,0.9499706844386188,1,0.9399665507035511,0.2804133326218137,0.06632301255171925
10,0.7477893462331401,COMPLETE,900,0.07903507924322126,78,7,39,0.9630659181130071,5,0.642539945756007,0.007077493671122793,0.6501811612785573
41,0.7475946997809688,COMPLETE,750,0.07849780781130658,77,7,35,0.980386308181851,1,0.6910182051497914,0.001457186349487689,0.003941855538047346
46,0.7466873151151966,COMPLETE,800,0.049070487822115746,65,8,45,0.9943246057458124,2,0.8647967000638025,0.052241420970803185,0.09645027271697325
